curve	category_AB
curve1	A
curve2	A
curve3	A
curve4	A
curve5	A
curve6	A
curve7	A
curve8	A
curve9	A
curve10	A
curve11	A
curve12	A
curve13	A
curve14	A
curve15	A
curve16	A
curve17	A
curve18	A
curve19	A
curve20	A
curve21	A
curve22	A
curve23	A
curve24	A
curve25	A
curve26	B
curve27	B
curve28	B
curve29	B
curve30	B
curve31	B
curve32	B
curve33	B
curve34	B
curve35	B
curve36	B
curve37	B
curve38	B
curve39	B
curve40	B
curve41	B
curve42	B
curve43	B
curve44	B
curve45	B
curve46	B
curve47	B
curve48	B
curve49	B
curve50	B
