curve	category_AB	category_CD
curve1	A	C
curve2	A	D
curve3	A	C
curve4	A	D
curve5	A	C
curve6	A	D
curve7	A	C
curve8	A	D
curve9	A	C
curve10	A	D
curve11	A	C
curve12	A	D
curve13	A	C
curve14	A	D
curve15	A	C
curve16	A	D
curve17	A	C
curve18	A	D
curve19	A	C
curve20	A	D
curve21	A	C
curve22	A	D
curve23	A	C
curve24	A	D
curve25	A	C
curve26	B	D
curve27	B	C
curve28	B	D
curve29	B	C
curve30	B	D
curve31	B	C
curve32	B	D
curve33	B	C
curve34	B	D
curve35	B	C
curve36	B	D
curve37	B	C
curve38	B	D
curve39	B	C
curve40	B	D
curve41	B	C
curve42	B	D
curve43	B	C
curve44	B	D
curve45	B	C
curve46	B	D
curve47	B	C
curve48	B	D
curve49	B	C
curve50	B	D
